代码,名称,最新价,PE(TTM),PB,ROE(TTM),营收同比,净利同比,毛利率,总市值,上市日期
601918,新集能源,10.31,10.98,1.47,13.3879781420765,35.8202327897,32.270952139153,34.5336503727,26708485958,20071219
601900,南方传媒,12.11,10.01,1.21,12.087912087912088,-4.6094835788,5.258242382634,39.1678355433,10680657838,20160215
601899,紫金矿业,31.41,12.35,4.32,34.979757085020246,15.7816890732,68.170288138556,37.7472369593,835214346277,20080425
601898,中煤能源,13.86,10.02,1.11,11.077844311377246,-1.7610159657,5.825484910589,26.9192171517,183765074724,20080201
601877,正泰电器,25.26,10.71,1.18,11.017740429505134,28.4618259054,22.226273744484,23.517616672,54282956334,20100121
601872,招商轮船,22.36,16.64,3.85,23.137019230769234,56.1524780529,227.572453273364,44.9779229906,180546680905,20061201
601857,中国石油,10.56,10.98,1.22,11.11111111111111,5.3426812439,22.029798875204,21.8708980937,1932701525758,20071105
601838,XD成都银,19.14,5.98,0.9,15.050167224080266,4.1264172877,4.351984949295,0.0,81123652714,20180131
601808,中海油服,12.15,14.92,1.23,8.243967828418231,2.0028088151,2.276723113222,18.5384215705,57974842800,20070928
601717,中创智领,13.9,7.34,1.05,14.305177111716622,-6.052859814,-36.251455720824,19.8126519852,24817059027,20100803
601699,潞安环能,15.19,29.42,0.97,3.2970768184908223,6.6840005595,31.851805138574,40.0877214149,45439505748,20060922
601666,平煤股份,8.85,75.3,0.99,1.3147410358565739,21.3438753172,22.840611350337,16.3127142466,21853881215,20061123
601658,邮储银行,5.33,7.14,0.61,8.543417366946779,7.2645809882,4.621353701146,0.0,640106635112,20191210
601609,金田股份,13.28,27.95,2.25,8.050089445438283,33.7407335256,18.441975645424,2.3377594947,22956315203,20200422
601601,中国太保,32.08,5.47,0.97,17.73308957952468,5.8056021068,10.36399497938,0.0,308620553876,20071225
601600,中国铝业,9.35,9.18,1.9,20.697167755991288,7.7352789894,67.906935233662,26.9404981068,160396994284,20070430
601598,中国外运,6.47,12.22,1.12,9.16530278232406,-8.0562839152,-11.403983431516,6.4589549144,46414170439,20190118
601577,长沙银行,9.79,4.73,0.52,10.993657505285412,4.005177905,5.057955791571,0.0,39371011252,20180926
601398,工商银行,8.07,7.69,0.73,9.492847854356306,9.0769670235,3.318798593719,0.0,2876198494708,20061027
601328,交通银行,7.46,6.76,0.57,8.431952662721894,6.7295003299,4.037726008345,0.0,659193830304,20070515
601319,中国人保,7.82,6.08,1.02,16.776315789473685,9.5986593172,38.503580851866,0.0,345831606359,20181116
601318,中国平安,53.37,6.07,0.96,15.815485996705107,15.010118462,36.060370038356,0.0,966404853273,20070301
601288,农业银行,6.81,8.0,0.83,10.375,11.0651273055,4.925094975271,0.0,2383384460675,20100715
601233,桐昆股份,23.81,10.98,1.33,12.112932604735883,19.3644506715,285.031421512134,10.0407188501,56644025477,20110518
601229,上海银行,9.56,5.6,0.53,9.464285714285715,5.4796118662,0.513050049287,0.0,135838410326,20161116
601225,陕西煤业,25.2,11.98,2.42,20.20033388981636,1.1692536077,47.574576296288,33.3593436248,244314000000,20140128
601216,君正集团,4.62,12.72,1.42,11.163522012578616,1.818933018,-13.182300593101,20.7095252322,38983640342,20110222
601212,白银有色,6.29,-101.7,3.02,-2.9695181907571286,2.7483625775,136.939618642405,10.5731692941,46576031674,20170215
601208,东材科技,51.3,127.38,8.4,6.59444182760245,27.2877870839,63.781713094159,16.8067463155,51822384976,20110520
601168,西部矿业,36.03,14.45,3.83,26.505190311418687,24.7432887685,123.034942042883,23.9067381944,85859490000,20070712
601166,兴业银行,17.78,4.99,0.45,9.018036072144287,-0.2543953358,-4.659140956399,0.0,376275642141,20070205
601156,东航物流,18.08,10.19,1.44,14.131501472031404,26.6168652106,10.054967315347,15.7092061222,28703004452,20210609
601128,常熟银行,6.27,5.16,0.7,13.565891472868216,6.0459519668,10.639013270705,0.0,22874083860,20160930
601117,中国化学,7.19,6.77,0.63,9.30576070901034,1.0874236041,1.40844749131,9.9956222562,43898981160,20100107
601101,昊华能源,12.92,23.0,1.5,6.521739130434782,9.4583908746,66.137796232799,40.6829217648,18604773204,20100331
601088,中国神华,46.23,18.58,2.22,11.948331539289562,7.9322551775,4.103977087336,35.4841606017,1002702547874,20071009
601083,锦江航运,12.56,11.15,1.76,15.784753363228699,10.1615910563,-5.431638920236,29.0019555473,16254147200,20231205
601077,渝农商行,6.53,5.89,0.53,8.998302207130731,7.8071312697,6.093345368198,0.0,74161210000,20191029
601020,华钰矿业,21.44,21.68,3.99,18.404059040590408,-9.4537992516,-32.866570827978,50.4863991216,17580043125,20160316
601009,南京银行,11.8,6.39,0.76,11.893583724569641,10.9393325773,8.169953519296,0.0,145890093491,20070719
601001,晋控煤业,16.81,16.76,1.47,8.7708830548926,2.5699327876,-17.429594083394,35.6369252456,28134897000,20060623
601000,唐山港,4.47,12.48,1.24,9.935897435897436,15.1831236839,13.97154240949,49.7525572883,26488900905,20100705
600995,南网储能,12.32,20.01,1.7,8.495752123938031,24.8299503322,33.605204056849,51.9531553713,39374791518,20040615
600989,宝丰能源,23.59,11.26,3.32,29.484902309058615,32.3321115262,70.137377080532,43.5632332124,172993962400,20190516
600988,赤峰黄金,44.26,22.69,5.87,25.870427501101805,33.1130924648,56.499217276243,57.546091123,84112198738,20040414
600987,航民股份,6.34,8.98,0.96,10.690423162583517,-28.5632702371,-4.586382823315,18.2899290631,6471991655,20040809
600985,淮北矿业,16.44,25.84,1.05,4.063467492260062,3.6866137617,20.113296897936,20.4396413344,44277173176,20040428
600971,恒源煤电,8.34,101.4,0.85,0.8382642998027613,44.8213255038,224.789940924094,28.2552638465,10008040733,20040817
600968,海油发展,3.95,10.24,1.35,13.18359375,2.1356121503,2.112800873538,15.5641850577,40152161586,20190626
600961,株冶集团,25.5,11.0,4.67,42.45454545454545,35.9090987001,232.748069342089,20.0710366181,27358253927,20040830
600941,中国移动,96.63,15.9,1.47,9.245283018867925,-1.054491889,-6.293108565323,29.5120205935,2095995305506,20220105
600938,中国海油,32.3,11.1,1.79,16.126126126126128,16.8837424377,23.420534134871,53.4636940575,1535217513683,20220421
600926,杭州银行,17.14,6.16,0.88,14.285714285714285,4.7493361936,9.871100853554,0.0,124247903673,20161027
600919,江苏银行,12.17,6.18,0.82,13.268608414239482,9.1107021147,8.089489422095,0.0,223335618715,20160802
600901,江苏金租,6.7,11.46,1.51,13.176265270506107,16.9079065611,9.272979652815,0.0,38805505088,20180301
600900,长江电力,28.27,19.11,3.2,16.74515960230246,3.3562259885,13.015444431533,57.8922527476,691716514831,20031118
600887,伊利股份,26.6,16.62,3.13,18.832731648616125,4.1285439856,-20.024359380482,36.4317084905,168254593742,19960312
600886,国投电力,14.3,16.04,1.72,10.723192019950126,-7.047750587,-6.829744053233,39.0526427507,114464267947,19960118
600863,华能蒙电,4.73,17.95,1.86,10.362116991643456,-15.0441236106,-22.339805315217,22.9311479655,37060446619,19940520
600801,华新建材,24.3,14.59,1.52,10.41809458533242,21.5027309629,55.216626154434,31.5538870315,50519594271,19940103
600795,国电电力,5.26,14.46,1.56,10.788381742738588,1.7699058332,-18.245046891897,14.2151681713,93815356371,19970318
600741,华域汽车,14.88,6.74,0.74,10.979228486646884,-1.4313132149,-8.673194199067,11.9117354734,46912532882,19960826
600740,山西焦化,3.76,65.92,0.64,0.9708737864077669,-3.7601284395,81.183779258902,-4.9148409396,9633575539,19960808
600737,中粮糖业,14.78,28.36,2.82,9.94358251057828,-21.1640166231,36.749440811983,14.5938463133,31612176810,19960731
600726,华电能源,5.27,124.94,7.91,6.331038898671363,-3.0255203769,29.155575370936,23.5016495287,41671661827,19960701
600711,盛屯矿业,11.03,12.57,1.92,15.274463007159902,39.5572034727,71.37230176894,22.8700584917,34089445408,19960531
600710,苏美达,11.4,10.65,1.77,16.619718309859156,19.6573775947,6.615762372211,6.1582701057,14896943548,19960701
600690,海尔智家,20.68,10.79,1.61,14.921223354958297,-2.7981796409,-14.266944821157,27.2293255339,192387863232,19931119
600674,川投能源,15.76,16.62,1.72,10.348977135980746,-4.5332623609,-5.337814065904,48.368584199,76823803609,19930924
600642,申能股份,8.67,11.72,1.16,9.897610921501705,-1.8141609067,-18.965891946215,19.1847221818,42431668190,19930416
600612,老凤祥,31.45,13.16,1.24,9.422492401215806,-40.0802202185,-41.340172419903,12.1605409843,16452053678,19920814
600595,中孚实业,6.1,8.76,1.34,15.296803652968038,34.8459302154,165.843528122023,21.6860462661,24448221195,20020626
600578,京能电力,5.37,10.17,1.44,14.15929203539823,-3.5096978073,0.21428330156,19.1332149104,35950114851,20020510
600549,厦门钨业,50.49,22.64,4.45,19.65547703180212,81.6985110158,127.040800287306,21.8280630899,80157208355,20021107
600547,山东黄金,32.77,27.6,4.62,16.73913043478261,-5.5986696921,26.172185510753,24.4331757468,151067390534,20030828
600546,山煤国际,13.39,17.45,1.53,8.767908309455589,21.6251906062,54.129117090614,41.966565921,26545087715,20030731
600531,豫光金铅,12.31,16.17,2.1,12.987012987012985,52.7294852476,12.455767177833,6.2353816468,14886023812,20020730
600508,上海能源,10.64,36.06,0.84,2.3294509151414307,27.2058796934,38.015692234368,18.252820285,10765607328,20010829
600489,中金黄金,24.05,17.68,3.59,20.305429864253394,22.5680554876,61.67444588448,20.6665566188,116577867164,20030814
600483,福能股份,11.01,10.38,1.11,10.69364161849711,2.958172986,-0.634034765044,27.8512126459,30609414165,20040531
600482,中国动力,33.95,45.47,1.87,4.112601715416759,11.5416206181,42.739287544582,18.5322100253,77006964194,20040714
600428,中远海特,11.17,13.17,1.8,13.66742596810934,34.0667335775,66.235880885078,23.1628675638,30649590812,20020418
600426,华鲁恒升,19.47,13.06,1.53,11.715160796324655,8.8738463081,49.979066694994,24.0998324414,53541390502,20020620
600415,小商品城,11.82,14.43,2.93,20.30492030492031,33.3049494265,17.04759294799,29.0443909103,64815670051,20020509
600398,海澜之家,5.79,13.41,1.56,11.633109619686802,7.3811035049,-5.856589928478,45.9852959378,27808040014,20001228
600395,盘江股份,5.03,27.13,1.02,3.7596756358274974,-5.9520766476,1344.47904836477,29.1583642597,10797523217,20010531
600392,盛和资源,21.54,27.99,2.89,10.325116112897465,41.7648611587,135.235088233553,12.6425008214,37755884318,20030529
600366,宁波韵升,11.23,24.83,1.92,7.732581554571083,42.0220388493,154.182105416159,20.7774458297,12342231003,20001030
600362,江西铜业,44.03,13.16,1.74,13.221884498480243,19.5346627106,106.772703566559,5.8235527637,152463975702,20020111
600348,华阳股份,8.94,16.27,1.17,7.191149354640443,-11.731713938,35.634994404968,43.0980764017,32251050000,20030821
600346,恒力石化,16.42,10.29,1.61,15.646258503401365,-5.4701076371,136.246531540461,13.9588598285,115582018486,20010820
600309,万华化学,71.15,13.53,2.01,14.855875831485587,31.2585013331,64.354204430483,17.0841909951,222733056190,20010105
600295,鄂尔多斯,13.21,13.25,1.73,13.056603773584904,5.8820324433,43.193457922812,24.0524439343,36971834315,20010426
600282,南钢股份,4.5,10.18,1.02,10.019646365422398,7.5542142067,-9.636770518128,13.2275954016,27742909550,20000919
600259,中稀有色,81.37,59.71,7.12,11.924300787137833,-6.3842704298,456.506725190613,11.7535151558,27375789997,20000525
600256,广汇能源,6.72,24.26,1.72,7.089859851607584,-9.5674039644,49.805690529596,23.9310197785,42954259918,20000526
600236,桂冠电力,9.74,19.94,4.48,22.46740220661986,37.5916562809,48.094937752165,56.1330934976,76774359791,20000323
600219,南山铝业,4.78,12.6,1.1,8.730158730158731,7.5268313796,-14.397652508825,21.298204911,54892093452,19991223
600206,有研新材,51.6,137.37,10.1,7.352405911043168,50.3538965052,40.887819389388,7.4200648174,43682151931,19990319
600188,兖矿能源,19.68,18.47,2.57,13.914455874390905,13.0051222512,47.747879557371,30.6006985281,197525247754,19980701
600160,巨化股份,34.74,21.4,4.37,20.42056074766355,0.0650496646,29.228765169589,34.03007274,93789178854,19980626
600150,中国船舶,39.47,21.18,1.95,9.206798866855523,26.005331272,163.508688638198,17.3661199239,297036272237,19980520
600123,兰花科创,6.96,-19.94,0.67,-3.3600802407221666,18.3220666654,44.595539181313,28.0299202924,10253750546,19981217
600111,北方稀土,36.86,39.5,5.08,12.860759493670887,36.747397269,120.459227455401,15.0254626695,133251326936,19970924
600096,云天化,28.1,9.62,2.05,21.30977130977131,-8.9190484402,6.137739973604,20.8901895736,51226039541,19970709
600060,海信视像,27.87,14.02,1.64,11.697574893009985,3.7066715876,13.227697357,17.3459572128,36369576719,19970422
