代码,指数代码,指数名,份额
513210,HSI,恒生指数,42942000
513220,930796,中证全球中国互联网人民币指数,561109416
513230,931454,中证港股通消费主题港元指数,312422700
513240,930967,中证港股通信息技术综合港元指数,79496000
513260,HSTECH,恒生科技指数,5331242980
513280,HSHKBIO,恒生生物科技指数,418114457
513290,NBI,纳斯达克生物科技指数,945572120
513300,NDX100,纳斯达克100指数,5192921000
513310,931790,中证韩交所中韩半导体指数,2298427000
513320,HSSCNE,恒生港股通新经济指数,111010597
513330,HSIII,恒生互联网科技业指数,72437480000
513350,SPSIOP,S&P Oil & Gas Exploration & Production Select Industry,803746000
513360,931456,中证全球中国教育主题人民币指数,659713920
513380,HSTECH,恒生科技指数,19141784948
513390,NDX100,纳斯达克100指数,1842379100
513400,DJIA,道琼斯工业平均指数,2282062000
513500,SPX,标准普尔500指数,9931638570
513520,N225,东京日经225指数,1055887188
513530,930914,中证港股通高股息投资港元指数,2603938710
513550,930931,中证港股通50港元指数,1606992000
513560,931573,中证港股通科技指数,564386000
513580,HSTECH,恒生科技指数,6727118000
513590,931454,中证港股通消费主题港元指数,134718892
513600,HSI,恒生指数,603829500
513620,932069,中证港股通医疗主题指数,171216000
513630,SPAHLVCP,标普港股通低波红利指数,7591359000
513650,SPX,标准普尔500指数,4181734000
513660,HSI,恒生指数,2242000190
513690,HSSCHKY,港股通高股息率指数,3542979850
513700,930965,中证港股通医药卫生综合港元指数,949846000
513720,931637,中证港股通互联网指数,238859000
513730,ASIATECP,新交所泛东南亚科技指数,886355000
513750,931028,中证港股通非银行金融主题人民币指数,9566338000
513770,931637,中证港股通互联网指数,14523137878
513780,931250,中证港股通创新药指数,1772657000
513800,TPX,东证指数,1056644394
513810,H11153,中证香港内地国有企业港元指数,36992000
513820,930914,中证港股通高股息投资港元指数,1855669000
513830,930914,中证港股通高股息投资港元指数,57311000
513850,750108,MSCI USA 50 Index,1200892600
513860,931573,中证港股通科技指数,4222470600
513870,NDX100,纳斯达克100指数,1261671000
513880,N225,东京日经225指数,1272970000
513890,HSTECH,恒生科技指数,924128000
513900,CES100,中华港股通精选100港元指数,122978000
513910,931233,中证港股通央企红利指数,2100276000
513920,HSSCSOY,恒生港股通中国央企红利指数,2609231000
513930,HSHKBIO,恒生生物科技指数,83408000
513950,HSHYLV,恒生港股通高股息低波动指数,2011619000
513970,HSCGSI,恒生消费指数,1524041000
513980,931573,中证港股通科技指数,23414204000
513990,H50069,上证港股通指数,67000000
515000,931087,中证科技龙头指数,2376579334
515010,399975,中证全指证券公司指数,1871271585
515020,399986,中证银行指数,396345319
515030,399976,中证新能源汽车指数,1659384000
515040,H11059,中证工业有色金属主题指数,216319577
515043,,,0
515050,931079,中证5G通信主题指数,17915205428
515060,931775,中证全指房地产指数,883478058
515070,930713,中证人工智能主题指数,7410940370
515080,000922,中证红利指数,8198148880
